Column,Count,Type,Unique,Top_1_Value,Top_1_Count,Top_2_Value,Top_2_Count,Top_3_Value,Top_3_Count,Mean,Min,Max,StdDev
page_id,246745,Categorical,4475,4d66f5853f0365dba032a87704a634f023d15babde973bb7a284ed8cd2707b2d,55503,e3342051b60393770363ffc02946a0f76bc3e4155190d1f05fb0277b34bf6480,23988,4ade404186269ec62d2dd7d9e0ed5f93a5f32c057516879d627ea9fbd628ef9b,14822,,,,
ad_id,246745,Categorical,246745,877bc591480c48abceb35377ea03e7112a9d37e4af2816c9e86e36d5aa202115,1,e0759786a8346a84d68f478064a89bd01be0a6e15b078b6b69b8b9938bc5c4e5,1,95e27194aa9ea5040e4b475a3279301617440b161a2f7b66b1ca20298655ea08,1,,,,
ad_creation_time,246745,Categorical,547,2024-10-27,8619,2024-10-28,7356,2024-10-26,6414,,,,
bylines,245736,Categorical,3790,HARRIS FOR PRESIDENT,49788,HARRIS VICTORY FUND,32612,BIDEN VICTORY FUND,15539,,,,
currency,246745,Categorical,18,USD,246599,INR,63,GBP,17,,,,
delivery_by_region,246745,Categorical,141122,{},30989,"{'Georgia': {'spend': 49, 'impressions': 499}}",2307,"{'Arizona': {'spend': 49, 'impressions': 499}}",2020,,,,
demographic_distribution,246745,Categorical,215622,{},30989,"{'female_65+': {'spend': 49, 'impressions': 499}}",44,"{'male_65+': {'spend': 49, 'impressions': 499}}",24,,,,
estimated_audience_size,246745,Numeric,,,,,,,,556462.86,0,1000001,409864.76
estimated_impressions,246745,Numeric,,,,,,,,45601.53,499,1000000,136790.77
estimated_spend,246745,Numeric,,,,,,,,1061.29,49,474999,4992.56
publisher_platforms,246745,Categorical,9,"['facebook', 'instagram']",214434,['facebook'],23259,['instagram'],8395,,,,
illuminating_scored_message,246745,Categorical,26338,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5972,82459467ad44f717f2089911f5210cce1ff025dc0cee03bdb2e60da827edb282,1887,3b1d236346df93fd259a23d523f6deeed9b9939158b6f34b11854ea0f97ef35d,1352,,,,
illuminating_mentions,246745,Categorical,278,[],73205,['Donald Trump'],53182,['Kamala Harris'],31019,,,,
scam_illuminating,246745,Numeric,,,,,,,,0.07,0,1,0.26
election_integrity_Truth_illuminating,246745,Numeric,,,,,,,,0.05,0,1,0.22
advocacy_msg_type_illuminating,246745,Numeric,,,,,,,,0.55,0,1,0.5
issue_msg_type_illuminating,246745,Numeric,,,,,,,,0.38,0,1,0.49
attack_msg_type_illuminating,246745,Numeric,,,,,,,,0.27,0,1,0.44
image_msg_type_illuminating,246745,Numeric,,,,,,,,0.22,0,1,0.42
cta_msg_type_illuminating,246745,Numeric,,,,,,,,0.57,0,1,0.49
engagement_cta_subtype_illuminating,246745,Numeric,,,,,,,,0.12,0,1,0.33
fundraising_cta_subtype_illuminating,246745,Numeric,,,,,,,,0.23,0,1,0.42
voting_cta_subtype_illuminating,246745,Numeric,,,,,,,,0.14,0,1,0.35
covid_topic_illuminating,246745,Numeric,,,,,,,,0.02,0,1,0.16
economy_topic_illuminating,246745,Numeric,,,,,,,,0.12,0,1,0.33
education_topic_illuminating,246745,Numeric,,,,,,,,0.01,0,1,0.12
environment_topic_illuminating,246745,Numeric,,,,,,,,0.02,0,1,0.14
foreign_policy_topic_illuminating,246745,Numeric,,,,,,,,0.01,0,1,0.07
governance_topic_illuminating,246745,Numeric,,,,,,,,0.03,0,1,0.16
health_topic_illuminating,246745,Numeric,,,,,,,,0.11,0,1,0.31
immigration_topic_illuminating,246745,Numeric,,,,,,,,0.03,0,1,0.18
lgbtq_issues_topic_illuminating,246745,Numeric,,,,,,,,0.0,0,1,0.06
military_topic_illuminating,246745,Numeric,,,,,,,,0.0,0,1,0.05
race_and_ethnicity_topic_illuminating,246745,Numeric,,,,,,,,0.01,0,1,0.11
safety_topic_illuminating,246745,Numeric,,,,,,,,0.03,0,1,0.18
social_and_cultural_topic_illuminating,246745,Numeric,,,,,,,,0.11,0,1,0.31
technology_and_privacy_topic_illuminating,246745,Numeric,,,,,,,,0.0,0,1,0.03
womens_issue_topic_illuminating,246745,Numeric,,,,,,,,0.08,0,1,0.27
incivility_illuminating,246745,Numeric,,,,,,,,0.19,0,1,0.39
freefair_illuminating,246745,Numeric,,,,,,,,0.01,0,1,0.08
fraud_illuminating,246745,Numeric,,,,,,,,0.0,0,1,0.05
