Column,Count,Max,Mean,Min,StdDev,Top_1_Count,Top_1_Value,Top_2_Count,Top_2_Value,Top_3_Count,Top_3_Value,Type,Unique
Facebook_Id,19009,,,,,9013,32fc18da91029ff09bf74fe9887eace6b5d2145809d583f696e344530508b064,1431,bfe51c6ac2cab17ba5c85883e76f61398031ed57e4cf62d19fd483548ebb904b,1231,ac24f31c4d4b3d5555065fa9558bdca4ab4b5e1379922875ae9e6e32f1d46d25,Categorical,21
post_id,19009,,,,,1,8570b69695e00d8f06b12398ed525497e1712b5369c6fc2138fe98f69811c138,1,41ec27cecd8af40007a9faf8c3e5c9225bcff0b8d58856563bbc9d59d7dbb6e6,1,1dcb5e00cd1c8d7ee141922f50f29e59e96328231b6937870e87029c97b26377,Categorical,19009
Page Category,16537,,,,,9453,PERSON,3304,ACTOR,2595,POLITICIAN,Categorical,6
Page Admin Top Country,16280,,,,,16280,US,,,,,Categorical,1
Post Created,19009,,,,,2,2023-11-14 11:11:44 EST,2,2023-11-22 19:20:24 EST,2,2023-12-22 11:22:14 EST,Categorical,18951
Post Created Date,19009,,,,,103,2024-10-31,102,2024-01-10,96,2024-01-15,Categorical,425
Post Created Time,19009,,,,,7,19:42:00,7,17:30:01,6,19:30:01,Categorical,16102
Type,16544,,,,,7404,Link,3820,Photo,2931,Native Video,Categorical,9
Total Interactions,19009,,,,,115,23,115,15,113,36,Categorical,5665
Likes,19009,351979.0,2377.7,0.0,11253.17,,,,,,,Numeric,
Comments,19009,93872.0,901.58,0.0,3681.88,,,,,,,Numeric,
Shares,19009,76150.0,320.54,0.0,1722.11,,,,,,,Numeric,
Love,19009,244482.0,413.88,0.0,3730.84,,,,,,,Numeric,
Wow,19009,4345.0,5.87,0.0,52.95,,,,,,,Numeric,
Haha,19009,99276.0,105.72,0.0,942.01,,,,,,,Numeric,
Sad,19009,56111.0,10.17,0.0,418.31,,,,,,,Numeric,
Angry,19009,11814.0,20.06,0.0,156.02,,,,,,,Numeric,
Care,19009,85236.0,34.93,0.0,790.08,,,,,,,Numeric,
Is Video Owner?,16544,,,,,13280,-,3181,Yes,83,No,Categorical,3
Post Views,16544,4276477.0,6485.06,0.0,90390.23,,,,,,,Numeric,
Total Views,16544,4462155.0,7461.85,0.0,95973.38,,,,,,,Numeric,
Total Views For All Crossposts,16544,4499458.0,3555.94,0.0,88091.39,,,,,,,Numeric,
Overperforming Score,16544,246.78,-2.74,-198.75,7.81,,,,,,,Numeric,
advocacy_msg_type_illuminating,19009,1.0,0.55,0.0,0.5,,,,,,,Numeric,
issue_msg_type_illuminating,19009,1.0,0.46,0.0,0.5,,,,,,,Numeric,
attack_msg_type_illuminating,19009,1.0,0.22,0.0,0.41,,,,,,,Numeric,
image_msg_type_illuminating,19009,1.0,0.15,0.0,0.36,,,,,,,Numeric,
cta_msg_type_illuminating,19009,1.0,0.13,0.0,0.34,,,,,,,Numeric,
engagement_cta_subtype_illuminating,19009,1.0,0.09,0.0,0.29,,,,,,,Numeric,
fundraising_cta_subtype_illuminating,19009,1.0,0.02,0.0,0.13,,,,,,,Numeric,
voting_cta_subtype_illuminating,19009,1.0,0.02,0.0,0.15,,,,,,,Numeric,
covid_topic_illuminating,19009,1.0,0.05,0.0,0.22,,,,,,,Numeric,
economy_topic_illuminating,19009,1.0,0.09,0.0,0.29,,,,,,,Numeric,
education_topic_illuminating,19009,1.0,0.01,0.0,0.12,,,,,,,Numeric,
environment_topic_illuminating,19009,1.0,0.02,0.0,0.15,,,,,,,Numeric,
foreign_policy_topic_illuminating,19009,1.0,0.04,0.0,0.19,,,,,,,Numeric,
governance_topic_illuminating,19009,1.0,0.03,0.0,0.17,,,,,,,Numeric,
health_topic_illuminating,19009,1.0,0.05,0.0,0.22,,,,,,,Numeric,
immigration_topic_illuminating,19009,1.0,0.04,0.0,0.2,,,,,,,Numeric,
lgbtq_issues_topic_illuminating,19009,1.0,0.0,0.0,0.06,,,,,,,Numeric,
military_topic_illuminating,19009,1.0,0.01,0.0,0.07,,,,,,,Numeric,
race_and_ethnicity_topic_illuminating,19009,1.0,0.02,0.0,0.15,,,,,,,Numeric,
safety_topic_illuminating,19009,1.0,0.03,0.0,0.18,,,,,,,Numeric,
social_and_cultural_topic_illuminating,19009,1.0,0.06,0.0,0.24,,,,,,,Numeric,
technology_and_privacy_topic_illuminating,19009,1.0,0.0,0.0,0.05,,,,,,,Numeric,
womens_issue_topic_illuminating,19009,1.0,0.03,0.0,0.16,,,,,,,Numeric,
incivility_illuminating,19009,1.0,0.13,0.0,0.33,,,,,,,Numeric,
scam_illuminating,18060,1.0,0.02,0.0,0.14,,,,,,,Numeric,
freefair_illuminating,19009,1.0,0.0,0.0,0.05,,,,,,,Numeric,
fraud_illuminating,19009,1.0,0.01,0.0,0.09,,,,,,,Numeric,
Video Share Status,3271,,,,,3100,owned,99,share,72,crosspost,Categorical,3
Video Length,3271,,,,,83,00:00:30,50,00:01:00,37,00:00:59,Categorical,774
