Column,Count,Max,Mean,Min,StdDev,Top_1_Count,Top_1_Value,Top_2_Count,Top_2_Value,Top_3_Count,Top_3_Value,Type,Unique
id,27304,,,,,1,cc46051622b8a9c1b883a3bbf12c640b12ac1cbdc7f48a773b6cc2a65f03aa2d,1,0e3db0c35a290c6df3b737d15882846c108cc80a9b7e5ca64a0129d4e3cd3ad7,1,256905919085d2946d5d187abc6cbe81a8abe3384793b362fa6aa4144bf42776,Categorical,27304
url,27304,,,,,1,f70a206472e9deaf6e313297c1efb891729ced346a0aeb34e16935d78f74b937,1,a1962f54943732a0dc006c33b4b6f5764c7085a1282a59439b891ee0eb59a0dc,1,4ddbbdb7f4d8ef62fccf3ed20c993bb665b8620fedb089e81b43c0c7bc0c613e,Categorical,27304
source,27304,,,,,14930,Twitter Web App,8494,Twitter for iPhone,2933,Sprout Social,Categorical,14
retweetCount,27304,144615.0,1322.06,0.0,3404.94,,,,,,,Numeric,
replyCount,27304,121270.0,1063.79,0.0,3174.92,,,,,,,Numeric,
likeCount,27304,915221.0,6913.69,0.0,21589.91,,,,,,,Numeric,
quoteCount,27304,123320.0,128.08,0.0,1131.51,,,,,,,Numeric,
viewCount,27304,333502775.0,507084.73,5.0,3212115.16,,,,,,,Numeric,
createdAt,27304,,,,,4,2023-10-06 04:55:21,4,2024-05-28 17:19:24,4,2024-08-30 03:04:08,Categorical,27014
lang,27304,,,,,27281,en,6,fr,4,tl,Categorical,12
bookmarkCount,27304,42693.0,136.21,0.0,712.57,,,,,,,Numeric,
isReply,27304,,,,,23930,False,3374,True,,,Categorical,2
isRetweet,27304,,,,,27304,False,,,,,Categorical,1
isQuote,27304,,,,,24064,False,3240,True,,,Categorical,2
isConversationControlled,27304,,,,,27296,False,8,True,,,Categorical,2
month_year,27304,,,,,3586,2024-10,2856,2024-09,2647,2024-08,Categorical,15
illuminating_scored_message,27304,,,,,21,36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd,18,1d2cc25fad0d66a295d4fafdd590d71d0e027a1d2a58cf5db0c58ba09b930e04,10,e85b31153cfcc753f8657eb033c8e8fb03f6da4c384da1d4e563eef696f6e7a0,Categorical,27136
election_integrity_Truth_illuminating,26034,1.0,0.04,0.0,0.19,,,,,,,Numeric,
advocacy_msg_type_illuminating,26034,1.0,0.56,0.0,0.5,,,,,,,Numeric,
issue_msg_type_illuminating,26034,1.0,0.51,0.0,0.5,,,,,,,Numeric,
attack_msg_type_illuminating,26034,1.0,0.31,0.0,0.46,,,,,,,Numeric,
image_msg_type_illuminating,26034,1.0,0.23,0.0,0.42,,,,,,,Numeric,
cta_msg_type_illuminating,26034,1.0,0.11,0.0,0.31,,,,,,,Numeric,
engagement_cta_subtype_illuminating,26034,1.0,0.07,0.0,0.25,,,,,,,Numeric,
fundraising_cta_subtype_illuminating,26034,1.0,0.01,0.0,0.09,,,,,,,Numeric,
voting_cta_subtype_illuminating,26034,1.0,0.02,0.0,0.13,,,,,,,Numeric,
covid_topic_illuminating,26034,1.0,0.01,0.0,0.09,,,,,,,Numeric,
economy_topic_illuminating,26034,1.0,0.16,0.0,0.37,,,,,,,Numeric,
education_topic_illuminating,26034,1.0,0.02,0.0,0.13,,,,,,,Numeric,
environment_topic_illuminating,26034,1.0,0.03,0.0,0.17,,,,,,,Numeric,
foreign_policy_topic_illuminating,26034,1.0,0.04,0.0,0.2,,,,,,,Numeric,
governance_topic_illuminating,26034,1.0,0.02,0.0,0.15,,,,,,,Numeric,
health_topic_illuminating,26034,1.0,0.06,0.0,0.23,,,,,,,Numeric,
immigration_topic_illuminating,26034,1.0,0.07,0.0,0.25,,,,,,,Numeric,
lgbtq_issues_topic_illuminating,26034,1.0,0.0,0.0,0.06,,,,,,,Numeric,
military_topic_illuminating,26034,1.0,0.01,0.0,0.1,,,,,,,Numeric,
race_and_ethnicity_topic_illuminating,26034,1.0,0.02,0.0,0.12,,,,,,,Numeric,
safety_topic_illuminating,26034,1.0,0.04,0.0,0.19,,,,,,,Numeric,
social_and_cultural_topic_illuminating,26034,1.0,0.05,0.0,0.22,,,,,,,Numeric,
technology_and_privacy_topic_illuminating,26034,1.0,0.0,0.0,0.05,,,,,,,Numeric,
womens_issue_topic_illuminating,26034,1.0,0.02,0.0,0.15,,,,,,,Numeric,
incivility_illuminating,26034,1.0,0.18,0.0,0.38,,,,,,,Numeric,
scam_illuminating,26034,1.0,0.01,0.0,0.11,,,,,,,Numeric,
freefair_illuminating,27304,1.0,0.0,0.0,0.04,,,,,,,Numeric,
fraud_illuminating,27304,1.0,0.0,0.0,0.05,,,,,,,Numeric,
inReplyToId,3345,1.853530653414859e+18,1.7582857247419858e+18,1.2400673584227e+18,4.3605446235839016e+16,,,,,,,Numeric,
quoteId,3287,1.8535761683325583e+18,1.7642983966589228e+18,7.912639390153769e+17,6.893637788495935e+16,,,,,,,Numeric,
