Column,Count,Type,Unique,Top_1_Value,Top_1_Count,Top_2_Value,Top_2_Count,Top_3_Value,Top_3_Count,Mean,Min,Max,StdDev
id,27304,Categorical,27304.0,cc46051622b8a9c1b883a3bbf12c640b12ac1cbdc7f48a773b6cc2a65f03aa2d,1.0,e4272c39690914de8078c85eb45bbea8517796ee8fb2572007632a0a475136cd,1.0,75ef0d9a2893b5e3903d73cf1213d4f10849748195a8f70f16e0d6b375f49def,1.0,,,,
url,27304,Categorical,27304.0,f70a206472e9deaf6e313297c1efb891729ced346a0aeb34e16935d78f74b937,1.0,5e5fc12720329a7fdfee7e59e57971a432565f1d9af04c35d4b1b934cd13d571,1.0,70638604f38d8aadb4f22a6cad9a846c5c9970d37702c79ed59f92793dcf6a31,1.0,,,,
source,27304,Categorical,14.0,Twitter Web App,14930.0,Twitter for iPhone,8494.0,Sprout Social,2933.0,,,,
retweetCount,27304,Numeric,,,,,,,,1322.06,0,144615,3405.0
replyCount,27304,Numeric,,,,,,,,1063.79,0,121270,3174.98
likeCount,27304,Numeric,,,,,,,,6913.69,0,915221,21590.31
quoteCount,27304,Numeric,,,,,,,,128.08,0,123320,1131.53
viewCount,27304,Numeric,,,,,,,,507084.73,5,333502775,3212173.99
createdAt,27304,Categorical,27014.0,2023-10-06 04:55:21,4.0,2024-05-28 17:19:24,4.0,2024-08-30 03:04:08,4.0,,,,
lang,27304,Categorical,12.0,en,27281.0,fr,6.0,tl,4.0,,,,
bookmarkCount,27304,Numeric,,,,,,,,136.21,0,42693,712.58
isReply,27304,Numeric,,,,,,,,0.12,False,True,0.33
isRetweet,27304,Numeric,,,,,,,,0.0,False,False,0.0
isQuote,27304,Numeric,,,,,,,,0.12,False,True,0.32
isConversationControlled,27304,Numeric,,,,,,,,0.0,False,True,0.02
quoteId,3287,Numeric,,,,,,,,1.7642983966589501e+18,7.912639390153769e+17,1.8535761683325583e+18,6.894686649329474e+16
inReplyToId,3345,Numeric,,,,,,,,1.7582857247419996e+18,1.2400673584227e+18,1.853530653414859e+18,4.36119657015607e+16
month_year,27304,Categorical,15.0,2024-10,3586.0,2024-09,2856.0,2024-08,2647.0,,,,
illuminating_scored_message,27304,Categorical,27136.0,36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd,21.0,1d2cc25fad0d66a295d4fafdd590d71d0e027a1d2a58cf5db0c58ba09b930e04,18.0,e85b31153cfcc753f8657eb033c8e8fb03f6da4c384da1d4e563eef696f6e7a0,10.0,,,,
election_integrity_Truth_illuminating,26034,Numeric,,,,,,,,0.04,0.0,1.0,0.19
advocacy_msg_type_illuminating,26034,Numeric,,,,,,,,0.56,0.0,1.0,0.5
issue_msg_type_illuminating,26034,Numeric,,,,,,,,0.51,0.0,1.0,0.5
attack_msg_type_illuminating,26034,Numeric,,,,,,,,0.31,0.0,1.0,0.46
image_msg_type_illuminating,26034,Numeric,,,,,,,,0.23,0.0,1.0,0.42
cta_msg_type_illuminating,26034,Numeric,,,,,,,,0.11,0.0,1.0,0.31
engagement_cta_subtype_illuminating,26034,Numeric,,,,,,,,0.07,0.0,1.0,0.25
fundraising_cta_subtype_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.09
voting_cta_subtype_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.13
covid_topic_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.09
economy_topic_illuminating,26034,Numeric,,,,,,,,0.16,0.0,1.0,0.37
education_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.13
environment_topic_illuminating,26034,Numeric,,,,,,,,0.03,0.0,1.0,0.17
foreign_policy_topic_illuminating,26034,Numeric,,,,,,,,0.04,0.0,1.0,0.2
governance_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.15
health_topic_illuminating,26034,Numeric,,,,,,,,0.06,0.0,1.0,0.23
immigration_topic_illuminating,26034,Numeric,,,,,,,,0.07,0.0,1.0,0.25
lgbtq_issues_topic_illuminating,26034,Numeric,,,,,,,,0.0,0.0,1.0,0.06
military_topic_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.1
race_and_ethnicity_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.12
safety_topic_illuminating,26034,Numeric,,,,,,,,0.04,0.0,1.0,0.19
social_and_cultural_topic_illuminating,26034,Numeric,,,,,,,,0.05,0.0,1.0,0.22
technology_and_privacy_topic_illuminating,26034,Numeric,,,,,,,,0.0,0.0,1.0,0.05
womens_issue_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.15
incivility_illuminating,26034,Numeric,,,,,,,,0.18,0.0,1.0,0.38
scam_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.11
freefair_illuminating,27304,Numeric,,,,,,,,0.0,0,1,0.04
fraud_illuminating,27304,Numeric,,,,,,,,0.0,0,1,0.05
