Column,Count,Type,Unique,Top_1_Value,Top_1_Count,Top_2_Value,Top_2_Count,Top_3_Value,Top_3_Count,Mean,Min,Max,StdDev
id,27304,Categorical,27304,a1d0c6eef2b43b10dcdf48e3e23f64d51ef2349593c54175736533efbaec6310,1,0c4949e32be1bac36ec353ec5b3d450f262e013dd25c5a52419e4c55224591f8,1,44eb21f7383fbaec08cb60aff33bca6c4609cbba568d23583b40851c30291f35,1,,,,
url,27304,Categorical,27304,595a1cf48ff15237a2a764e056cd7f45032c77763d822b8ce51f9f0106605570,1,c41bac8afa861514b7ad7e201c054920dc351755652a0d9b898b6855c80972aa,1,9152aead4bf4e0b769687f597cc9b7f0a1a5b1436c827ff94ae335cab5afa40c,1,,,,
source,27304,Categorical,14,Twitter Web App,14930,Twitter for iPhone,8494,Sprout Social,2933,,,,
retweetCount,27304,Numeric,,,,,,,,1322.06,0.0,144615.0,3405.0
replyCount,27304,Numeric,,,,,,,,1063.79,0.0,121270.0,3174.98
likeCount,27304,Numeric,,,,,,,,6913.69,0.0,915221.0,21590.31
quoteCount,27304,Numeric,,,,,,,,128.08,0.0,123320.0,1131.53
viewCount,27304,Numeric,,,,,,,,507084.73,5.0,333502775.0,3212173.99
createdAt,27304,Categorical,27014,2024-08-30 03:04:08,4,2023-10-06 04:55:21,4,2024-05-28 17:19:24,4,,,,
lang,27304,Categorical,12,en,27281,fr,6,tl,4,,,,
bookmarkCount,27304,Numeric,,,,,,,,136.21,0.0,42693.0,712.58
isReply,27304,,,,,,,,,,,,
isRetweet,27304,,,,,,,,,,,,
isQuote,27304,,,,,,,,,,,,
isConversationControlled,27304,,,,,,,,,,,,
quoteId,3287,Numeric,,,,,,,,1.764298396658951e18,7.912639390153769e17,1.8535761683325583e18,6.894686649329471e16
inReplyToId,3345,Numeric,,,,,,,,1.758285724742e18,1.2400673584227e18,1.853530653414859e18,4.361196570156091e16
month_year,27304,Categorical,15,2024-10,3586,2024-09,2856,2024-08,2647,,,,
illuminating_scored_message,27304,Categorical,27136,36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd,21,1d2cc25fad0d66a295d4fafdd590d71d0e027a1d2a58cf5db0c58ba09b930e04,18,e85b31153cfcc753f8657eb033c8e8fb03f6da4c384da1d4e563eef696f6e7a0,10,,,,
election_integrity_Truth_illuminating,26034,Numeric,,,,,,,,0.04,0.0,1.0,0.19
advocacy_msg_type_illuminating,26034,Numeric,,,,,,,,0.56,0.0,1.0,0.5
issue_msg_type_illuminating,26034,Numeric,,,,,,,,0.51,0.0,1.0,0.5
attack_msg_type_illuminating,26034,Numeric,,,,,,,,0.31,0.0,1.0,0.46
image_msg_type_illuminating,26034,Numeric,,,,,,,,0.23,0.0,1.0,0.42
cta_msg_type_illuminating,26034,Numeric,,,,,,,,0.11,0.0,1.0,0.31
engagement_cta_subtype_illuminating,26034,Numeric,,,,,,,,0.07,0.0,1.0,0.25
fundraising_cta_subtype_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.09
voting_cta_subtype_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.13
covid_topic_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.09
economy_topic_illuminating,26034,Numeric,,,,,,,,0.16,0.0,1.0,0.37
education_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.13
environment_topic_illuminating,26034,Numeric,,,,,,,,0.03,0.0,1.0,0.17
foreign_policy_topic_illuminating,26034,Numeric,,,,,,,,0.04,0.0,1.0,0.2
governance_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.15
health_topic_illuminating,26034,Numeric,,,,,,,,0.06,0.0,1.0,0.23
immigration_topic_illuminating,26034,Numeric,,,,,,,,0.07,0.0,1.0,0.25
lgbtq_issues_topic_illuminating,26034,Numeric,,,,,,,,0.0,0.0,1.0,0.06
military_topic_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.1
race_and_ethnicity_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.12
safety_topic_illuminating,26034,Numeric,,,,,,,,0.04,0.0,1.0,0.19
social_and_cultural_topic_illuminating,26034,Numeric,,,,,,,,0.05,0.0,1.0,0.22
technology_and_privacy_topic_illuminating,26034,Numeric,,,,,,,,0.0,0.0,1.0,0.05
womens_issue_topic_illuminating,26034,Numeric,,,,,,,,0.02,0.0,1.0,0.15
incivility_illuminating,26034,Numeric,,,,,,,,0.18,0.0,1.0,0.38
scam_illuminating,26034,Numeric,,,,,,,,0.01,0.0,1.0,0.11
freefair_illuminating,27304,Numeric,,,,,,,,0.0,0.0,1.0,0.04
fraud_illuminating,27304,Numeric,,,,,,,,0.0,0.0,1.0,0.05
